Model,Train RMSE,Test RMSE,Train R2,Test R2
Linear Regression,17.64737861529873,44654681522.916916,0.9991482570341085,-4350450555882816.0
Ridge Regression,123.9250866054259,300.1680896179602,0.9579983249056537,0.8034245461972173
Lasso Regression,134.89634454239507,333.5851066250333,0.9502321921750121,0.7572196406459345
Decision Tree Regressor,17.64737830640841,319.12305921552723,0.9991482570639254,0.7778140372207115
Random Forest Regressor,133.08645535427388,347.2119400129944,0.9515586915660208,0.7369795313433534
Gradient Boosting Regressor,105.99150551123878,307.43384305056685,0.9692751146610664,0.7937929105181661
XGBoost Regressor,38.35541713874928,328.19233798284796,0.9959765225688201,0.7650058126646463
CatBoost Regressor,81.89314457208386,330.34568186878647,0.9816581454877237,0.7619119966048983
Support Vector Regressor,626.4523694262396,696.8481267879035,-0.0733077403050506,-0.059440371600980146
K-Nearest Neighbors Regressor,290.0148497472672,364.72292201910454,0.7699678065715658,0.7097806522648277
Extra Trees Regressor,17.64737830640841,355.7796917935203,0.9991482570639254,0.7238388684029864
